,player_id,match_id,team_id,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles
7,6b47c5db,0b346a62,a2d435b3,"CM,DM",24-241,90,0,0,0,0,0,0,0,0,81,23,4,2,3,0.0,0.0,0.0,1,0,65,68,95.6,5,53,4,1,1
8,56f7a928,0b346a62,a2d435b3,"CM,DM",24-099,90,0,0,0,0,1,1,0,0,95,9,4,1,2,0.0,0.0,0.1,2,0,72,86,83.7,4,63,5,1,1
9,fc027d02,0b346a62,a2d435b3,"LB,WB",20-065,90,0,0,0,0,0,0,0,0,87,11,2,4,2,0.0,0.0,0.0,0,0,62,71,87.3,6,56,5,0,2
10,21166ff4,0b346a62,a2d435b3,CB,25-083,90,0,0,0,0,0,0,0,0,95,6,1,1,2,0.0,0.0,0.0,0,0,80,88,90.9,0,76,1,0,0
11,1a4ef233,0b346a62,a2d435b3,CB,26-236,90,0,0,0,0,0,0,0,0,80,3,2,0,2,0.0,0.0,0.0,1,0,70,73,95.9,0,60,2,0,0
12,75a72a99,0b346a62,a2d435b3,"RB,WB",27-312,90,0,1,0,0,0,0,0,0,80,8,3,0,3,0.0,0.0,0.1,2,2,54,71,76.1,3,55,7,1,2
13,53af52f3,0b346a62,a2d435b3,GK,34-282,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0.0,0.0,0.0,0,0,33,39,84.6,0,15,0,0,0
0,b561db50,0b346a62,8cec06e1,FW,30-101,90,0,0,0,0,3,0,0,0,39,14,0,1,0,0.1,0.1,0.1,4,0,19,24,79.2,1,28,4,3,6
1,9a28eba4,0b346a62,8cec06e1,"LW,LM",25-201,90,0,0,0,0,6,1,0,0,42,12,1,1,0,0.6,0.6,0.1,6,0,19,25,76.0,3,44,9,8,13
2,77e39b04,0b346a62,8cec06e1,RW,21-228,85,0,0,0,0,2,1,0,0,37,21,1,2,1,0.1,0.1,0.0,5,0,18,24,75.0,2,31,5,4,8
3,32f60ed8,0b346a62,8cec06e1,"RW,RM",21-199,5,0,0,0,0,1,0,0,0,7,2,0,0,1,0.1,0.1,0.0,0,0,3,5,60.0,1,2,1,0,0
