,player_id,match_id,team_id,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked
8,f230bc30,4eb36e37,d07537b9,CM,22-129,19,5,5,0,0,0,0,0,1,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0
9,8aec0537,4eb36e37,d07537b9,"LB,WB",30-060,90,70,55,15,3,0,6,7,3,4,0,3,0,44,14,12,10,51,1,8,0,57,0,0,2,4
10,282f75f3,4eb36e37,d07537b9,CB,29-266,90,78,75,3,1,0,2,2,1,0,0,0,0,62,7,9,7,66,2,2,0,72,0,1,1,0
11,7314bba4,4eb36e37,d07537b9,CB,29-225,90,46,46,0,0,0,0,1,0,0,0,0,0,39,2,5,3,38,5,0,0,44,0,0,0,0
12,c40b6180,4eb36e37,d07537b9,"RB,CB",26-222,90,76,66,10,1,0,12,2,0,0,0,0,0,50,13,13,18,45,2,9,0,57,0,0,5,3
13,6a713852,4eb36e37,d07537b9,GK,23-269,90,57,46,11,3,0,3,1,0,0,0,0,0,31,0,26,9,37,0,0,8,34,0,4,1,0
0,49fe9070,6f454493,cff3d9bb,FW,25-161,90,21,20,1,0,0,3,0,1,0,0,0,0,18,3,0,5,16,0,0,0,13,0,1,2,2
1,1bf33a9a,6f454493,cff3d9bb,AM,22-330,81,27,27,0,0,0,3,1,1,0,0,0,0,23,2,2,3,24,0,0,0,24,0,1,1,0
2,fed7cb61,6f454493,cff3d9bb,AM,22-064,9,8,8,0,0,0,2,0,1,0,0,0,0,8,0,0,6,2,0,0,0,6,0,1,0,1
3,9674002f,6f454493,cff3d9bb,AM,22-216,90,58,52,6,1,1,8,1,9,5,4,0,0,43,4,11,6,51,0,0,1,46,0,0,0,1
