,player_id,match_id,team_id,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors
1,38ceb24a,4eb36e37,d07537b9,"LM,AM",26-253,75,1,0,0,0,1,0,0,,0,6,1,16.7,0,4,2,1,0,0,1,0,1,0,0
2,83d074ff,4eb36e37,d07537b9,AM,22-233,15,1,1,0,1,0,1,2,50.0,1,5,2,40.0,3,2,0,0,0,0,0,0,1,1,0
3,6c203af0,4eb36e37,d07537b9,"CM,DM",24-349,90,1,1,1,0,0,1,1,100.0,0,13,5,38.5,3,8,2,0,0,0,0,2,3,1,0
4,1d5cab82,4eb36e37,d07537b9,CM,23-225,45,1,0,1,0,0,0,3,0.0,3,13,3,23.1,4,4,5,0,0,0,0,0,1,0,0
5,99813635,4eb36e37,d07537b9,CM,33-096,45,0,0,0,0,0,0,2,0.0,2,5,2,40.0,2,3,0,1,0,0,1,0,0,1,0
6,bb5fbd2b,4eb36e37,d07537b9,"RM,WB",27-025,90,4,0,2,0,2,0,0,,0,16,4,25.0,7,2,7,2,0,0,2,0,4,0,0
7,ad1f61f3,4eb36e37,d07537b9,"DM,CM",22-340,71,2,2,1,0,1,1,1,100.0,0,8,1,12.5,5,1,2,2,0,0,2,1,3,1,0
8,f230bc30,4eb36e37,d07537b9,CM,22-129,19,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,1,0,0,1,0,0,1,0
9,8aec0537,4eb36e37,d07537b9,"LB,WB",30-060,90,2,2,2,0,0,1,2,50.0,1,10,4,40.0,5,1,4,1,0,0,1,0,2,5,0
10,282f75f3,4eb36e37,d07537b9,CB,29-266,90,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,1,1,0,0,0,0,7,0
11,7314bba4,4eb36e37,d07537b9,CB,29-225,90,2,2,2,0,0,1,1,100.0,0,4,1,25.0,3,1,0,2,1,0,1,0,2,15,0
12,c40b6180,4eb36e37,d07537b9,"RB,CB",26-222,90,3,1,2,1,0,0,1,0.0,1,8,3,37.5,6,1,1,2,1,0,1,2,5,7,0
13,6a713852,4eb36e37,d07537b9,GK,23-269,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,49fe9070,6f454493,cff3d9bb,FW,25-161,90,0,0,0,0,0,0,2,0.0,2,17,4,23.5,2,6,9,0,0,0,0,0,0,0,0
1,1bf33a9a,6f454493,cff3d9bb,AM,22-330,81,0,0,0,0,0,0,2,0.0,2,28,7,25.0,4,9,15,0,0,0,0,1,1,0,0
2,fed7cb61,6f454493,cff3d9bb,AM,22-064,9,1,1,0,1,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,1,0,0
3,9674002f,6f454493,cff3d9bb,AM,22-216,90,2,1,0,0,2,1,3,33.3,2,16,5,31.3,1,4,11,0,0,0,0,1,3,0,0
4,79c0821a,6f454493,cff3d9bb,DM,27-100,90,1,0,0,1,0,0,2,0.0,2,24,6,25.0,4,13,7,0,0,0,0,3,4,1,0
5,45db685d,6f454493,cff3d9bb,DM,29-237,90,6,3,2,3,1,2,4,50.0,2,32,11,34.4,8,17,7,1,0,0,1,3,9,0,0
6,f4290206,6f454493,cff3d9bb,WB,30-229,85,3,1,0,2,1,2,2,100.0,0,10,5,50.0,1,5,4,2,0,0,2,4,7,0,0
7,e0bc6fdc,6f454493,cff3d9bb,WB,27-011,5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
8,53cad200,6f454493,cff3d9bb,WB,31-351,66,4,2,0,1,3,2,2,100.0,0,13,3,23.1,2,5,6,1,0,0,1,1,5,0,0
9,1265a93a,6f454493,cff3d9bb,WB,21-249,24,1,0,1,0,0,0,0,,0,8,1,12.5,6,2,0,0,0,0,0,1,2,0,0
10,18b896d6,6f454493,cff3d9bb,CB,28-164,90,2,2,0,2,0,2,2,100.0,0,8,4,50.0,3,5,0,2,1,0,1,0,2,4,0
11,1cb49278,6f454493,cff3d9bb,CB,25-126,90,0,0,0,0,0,0,0,,0,5,1,20.0,1,4,0,1,0,0,1,9,9,1,0
12,5515376c,6f454493,cff3d9bb,CB,22-040,90,1,0,0,0,1,1,1,100.0,0,14,5,35.7,4,10,0,0,0,0,0,2,3,2,0
13,33887998,6f454493,cff3d9bb,GK,29-166,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,50e6dc35,6f454493,47c64c55,FW,24-047,56,0,0,0,0,0,0,0,,0,14,3,21.4,0,9,5,1,1,0,0,0,0,1,0
1,ab070c55,6f454493,47c64c55,FW,30-254,34,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0
2,b2bc3b1f,6f454493,47c64c55,FW,28-277,90,1,0,1,0,0,0,2,0.0,2,23,2,8.7,7,12,4,0,0,0,0,1,2,1,0
3,3312f911,6f454493,47c64c55,"LM,RM",28-234,56,1,0,1,0,0,0,1,0.0,1,6,1,16.7,1,4,1,0,0,0,0,1,2,1,0
4,e34fc66d,6f454493,47c64c55,CB,25-075,34,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,2,0,0,2,2,2,1,0
5,da052c14,6f454493,47c64c55,"RM,CM,LM",29-337,90,1,1,1,0,0,0,1,0.0,1,26,1,3.8,11,12,3,1,0,0,1,2,3,1,0
6,cee31595,6f454493,47c64c55,"DM,CM",33-311,90,3,2,2,1,0,2,3,66.7,1,28,3,10.7,17,10,1,1,0,0,1,3,6,3,0
7,7a1f2c08,6f454493,47c64c55,DM,24-339,76,1,1,0,1,0,1,2,50.0,1,5,1,20.0,3,2,0,0,0,0,0,0,1,1,0
8,45685411,6f454493,47c64c55,DM,18-313,14,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0
9,5cbd1eb0,6f454493,47c64c55,"LB,WB",21-347,90,0,0,0,0,0,0,1,0.0,1,14,5,35.7,13,0,1,0,0,0,0,0,0,1,0
10,d0706b27,6f454493,47c64c55,CB,21-032,90,1,1,1,0,0,0,0,,0,6,1,16.7,3,3,0,1,0,0,1,0,1,1,0
11,8d3c902d,6f454493,47c64c55,CB,31-236,90,0,0,0,0,0,0,1,0.0,1,7,1,14.3,6,1,0,3,2,0,1,2,2,3,0
12,8a7ff278,6f454493,47c64c55,"RB,WB",31-289,90,2,1,2,0,0,1,2,50.0,1,7,1,14.3,5,2,0,4,0,0,4,3,5,6,0
13,ab13a5aa,6f454493,47c64c55,GK,34-216,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,2c44a35d,814b563c,2abfe087,FW,23-272,65,2,2,1,1,0,0,1,0.0,1,15,6,40.0,1,11,3,0,0,0,0,0,2,0,0
1,71b47ab9,814b563c,2abfe087,"LW,FW",22-116,25,0,0,0,0,0,0,2,0.0,2,6,0,0.0,4,1,1,0,0,0,0,0,0,0,0
2,1770bd68,814b563c,2abfe087,"LM,AM",27-318,90,2,1,2,0,0,0,1,0.0,1,15,2,13.3,4,10,1,1,0,0,1,0,2,3,0
3,5aaef9ef,814b563c,2abfe087,CM,34-169,68,4,3,3,1,0,1,2,50.0,1,14,4,28.6,6,7,1,0,0,0,0,2,6,0,0
4,7fec31a0,814b563c,2abfe087,"DM,CM",31-194,22,0,0,0,0,0,0,4,0.0,4,5,1,20.0,2,3,0,0,0,0,0,0,0,1,0
5,6cdd8245,814b563c,2abfe087,CM,32-002,78,2,1,0,2,0,1,2,50.0,1,15,5,33.3,4,11,0,1,0,0,1,1,3,0,0
6,82e34b69,814b563c,2abfe087,FW,33-046,12,0,0,0,0,0,0,1,0.0,1,4,0,0.0,0,2,2,0,0,0,0,0,0,1,0
7,bfdb33aa,814b563c,2abfe087,"RM,RW",23-170,90,0,0,0,0,0,0,0,,0,14,4,28.6,2,7,5,1,0,0,1,0,0,0,0
8,b579e83d,814b563c,2abfe087,DM,25-278,90,1,1,1,0,0,0,0,,0,13,5,38.5,5,7,1,3,1,0,2,3,4,3,0
9,de0f152c,814b563c,2abfe087,LB,27-224,90,1,0,1,0,0,1,1,100.0,0,5,1,20.0,3,2,0,1,0,0,1,0,1,4,0
10,914ab9a1,814b563c,2abfe087,CB,30-171,90,0,0,0,0,0,0,1,0.0,1,6,3,50.0,6,0,0,2,1,0,1,4,4,6,0
11,7ed4921e,814b563c,2abfe087,CB,27-347,90,1,1,1,0,0,0,1,0.0,1,5,3,60.0,3,2,0,0,0,0,0,2,3,3,0
12,89e4b358,814b563c,2abfe087,RB,32-189,90,0,0,0,0,0,0,4,0.0,4,10,2,20.0,5,4,1,0,0,0,0,1,1,2,0
13,1c0eea98,814b563c,2abfe087,GK,27-036,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,07802f7f,814b563c,8602292d,FW,29-022,90,0,0,0,0,0,0,0,,0,8,1,12.5,1,0,7,1,1,0,0,0,0,0,0
1,be927d03,814b563c,8602292d,"LB,LW,RW",36-036,90,1,0,1,0,0,0,0,,0,5,1,20.0,1,1,3,0,0,0,0,2,3,1,0
2,ffa90327,814b563c,8602292d,"RW,LW",26-103,59,0,0,0,0,0,0,2,0.0,2,5,1,20.0,0,4,1,0,0,0,0,0,0,0,0
3,3a233281,814b563c,8602292d,"LM,LW",24-005,31,2,1,1,1,0,0,0,,0,4,1,25.0,1,2,1,0,0,0,0,0,2,0,0
4,66b76d44,814b563c,8602292d,"AM,RW",24-232,71,1,0,0,1,0,0,2,0.0,2,10,3,30.0,1,7,2,0,0,0,0,1,2,0,0
5,c47541e0,814b563c,8602292d,RM,25-342,19,1,0,0,0,1,0,1,0.0,1,3,1,33.3,0,0,3,0,0,0,0,0,1,0,0
6,de5b5570,814b563c,8602292d,DM,27-207,90,2,2,1,1,0,2,6,33.3,4,20,6,30.0,5,11,4,0,0,0,0,0,2,1,0
7,90f91999,814b563c,8602292d,"DM,CM",26-300,90,3,1,1,1,1,1,2,50.0,1,11,2,18.2,4,3,4,1,0,0,1,2,5,2,0
8,e514ab62,814b563c,8602292d,LB,25-330,45,0,0,0,0,0,0,2,0.0,2,10,1,10.0,6,4,0,1,0,0,1,1,1,0,0
9,1544f145,814b563c,8602292d,"AM,CM",20-078,45,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,2,4,0,0,0,0,0,1,0,0
10,8397a50c,814b563c,8602292d,CB,28-154,90,1,1,1,0,0,0,0,,0,7,0,0.0,4,2,1,4,2,0,2,2,3,4,0
11,0313a347,814b563c,8602292d,CB,23-295,90,2,1,1,0,1,0,0,,0,5,1,20.0,2,2,1,2,1,0,1,4,6,5,0
12,2389cdc2,814b563c,8602292d,RB,24-007,90,3,3,1,2,0,2,2,100.0,0,11,5,45.5,3,7,1,0,0,0,0,3,6,3,0
13,7956236f,814b563c,8602292d,GK,28-346,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,59e6e5bf,c99ebbf5,d3fd31cc,FW,24-151,90,0,0,0,0,0,0,0,,0,5,1,20.0,1,4,0,1,1,0,0,1,1,0,0
1,fa031b34,c99ebbf5,d3fd31cc,"LW,AM",24-096,88,2,0,2,0,0,1,1,100.0,0,12,3,25.0,5,4,3,2,0,0,2,1,3,2,0
2,2bd83368,c99ebbf5,d3fd31cc,AM,20-171,2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
3,b28bbd58,c99ebbf5,d3fd31cc,RW,30-029,69,4,2,3,1,0,0,4,0.0,4,19,8,42.1,10,8,1,3,0,0,3,1,5,0,0
4,6ca5ec4b,c99ebbf5,d3fd31cc,"RW,AM",25-103,21,0,0,0,0,0,0,0,,0,3,1,33.3,1,0,2,0,0,0,0,0,0,1,0
5,4468ec10,c99ebbf5,d3fd31cc,"AM,LW",25-047,82,3,1,0,1,2,1,2,50.0,1,9,2,22.2,1,6,2,0,0,0,0,0,3,0,0
6,6d5701f2,c99ebbf5,d3fd31cc,CB,26-325,8,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
7,cc700722,c99ebbf5,d3fd31cc,DM,30-218,90,2,2,1,1,0,2,6,33.3,4,17,5,29.4,6,9,2,1,0,0,1,0,2,3,0
8,02b29014,c99ebbf5,d3fd31cc,DM,28-225,90,3,1,2,1,0,1,4,25.0,3,20,5,25.0,10,8,2,0,0,0,0,0,3,5,0
9,1b84dbe1,c99ebbf5,d3fd31cc,"LB,WB",28-025,90,0,0,0,0,0,0,0,,0,6,1,16.7,3,1,2,1,0,0,1,0,0,5,0
10,c5b7c315,c99ebbf5,d3fd31cc,CB,28-215,90,2,1,1,1,0,1,2,50.0,1,4,0,0.0,3,1,0,1,0,0,1,1,3,9,1
11,d0042ab9,c99ebbf5,d3fd31cc,CB,24-296,90,1,0,1,0,0,0,0,,0,6,1,16.7,4,1,1,1,1,0,0,3,4,9,0
12,0420d84f,c99ebbf5,d3fd31cc,"RB,WB",32-307,90,5,3,3,2,0,5,6,83.3,1,11,6,54.5,4,7,0,2,0,0,2,3,8,5,0
13,4806ec67,c99ebbf5,d3fd31cc,GK,27-160,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
