,player_id,match_id,team_id,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
8,6434f10d,ab6db0d6,b8fd03ef,DM,25-060,90,68,75,90.7,1426,240,20,20,100.0,36,39,92.3,12,15,80.0,0,0.0,0,3,1,0,4
9,bd6351cd,ab6db0d6,b8fd03ef,LB,27-086,90,70,82,85.4,1218,434,33,34,97.1,29,32,90.6,7,12,58.3,0,0.0,0,12,4,0,8
10,119b9a8e,ab6db0d6,b8fd03ef,CB,27-086,90,110,113,97.3,2449,698,26,26,100.0,61,62,98.4,23,25,92.0,0,0.0,1,21,0,0,6
11,31c69ef1,ab6db0d6,b8fd03ef,CB,24-099,90,105,110,95.5,2463,580,22,22,100.0,63,65,96.9,20,23,87.0,1,0.6,1,20,1,0,9
12,86dd77d1,ab6db0d6,b8fd03ef,RB,31-085,90,87,93,93.5,1791,595,36,38,94.7,35,38,92.1,15,15,100.0,0,0.0,0,20,3,0,11
13,3bb7b8b4,ab6db0d6,b8fd03ef,GK,28-004,90,12,12,100.0,334,241,3,3,100.0,5,5,100.0,4,4,100.0,0,0.0,0,0,0,0,0
0,0745b37d,ab6db0d6,1c781004,FW,31-145,76,11,15,73.3,179,7,6,7,85.7,4,6,66.7,1,1,100.0,0,0.0,0,0,0,0,0
1,a8d4428b,ab6db0d6,1c781004,FW,21-182,14,4,5,80.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
2,6c6a3300,ab6db0d6,1c781004,LW,25-054,90,10,13,76.9,183,42,6,6,100.0,3,5,60.0,1,2,50.0,0,0.0,0,2,0,0,1
3,f63d8a4b,ab6db0d6,1c781004,RW,23-175,90,23,25,92.0,389,27,11,12,91.7,6,6,100.0,5,6,83.3,0,0.0,0,1,0,0,1
4,3faa1780,ab6db0d6,1c781004,CM,30-225,45,16,18,88.9,357,77,5,5,100.0,5,5,100.0,5,6,83.3,0,0.0,0,1,0,0,0
5,471f16b3,ab6db0d6,1c781004,CM,29-225,45,9,10,90.0,151,18,4,4,100.0,5,6,83.3,0,0,,0,0.0,0,0,0,0,0
6,f5044e54,ab6db0d6,1c781004,CM,28-088,90,27,32,84.4,472,155,12,12,100.0,12,13,92.3,3,5,60.0,0,0.0,0,3,0,0,4
7,df10e27c,ab6db0d6,1c781004,DM,20-071,90,48,55,87.3,1023,256,19,21,90.5,20,20,100.0,9,14,64.3,0,0.0,0,1,0,0,2
8,112c495e,ab6db0d6,1c781004,LB,25-308,45,19,23,82.6,314,83,8,8,100.0,11,13,84.6,0,2,0.0,0,0.0,0,0,0,0,0
9,2d760d7b,ab6db0d6,1c781004,LB,19-317,45,7,10,70.0,99,36,5,6,83.3,2,2,100.0,0,2,0.0,0,0.0,0,1,0,0,1
10,bcfb0142,ab6db0d6,1c781004,CB,28-218,90,37,41,90.2,769,262,7,9,77.8,27,28,96.4,3,3,100.0,0,0.0,0,1,0,0,0
11,e9254eec,ab6db0d6,1c781004,CB,29-274,90,38,39,97.4,735,193,14,14,100.0,22,22,100.0,2,3,66.7,0,0.0,0,0,0,0,0
12,774cf58b,ab6db0d6,1c781004,RB,21-229,90,27,35,77.1,389,101,17,19,89.5,10,10,100.0,0,4,0.0,0,0.0,0,0,0,0,0
13,f23f9d20,ab6db0d6,1c781004,GK,33-140,90,41,58,70.7,1114,530,9,9,100.0,19,19,100.0,13,30,43.3,0,0.0,0,1,0,0,0
0,93feac6e,b9064680,5bfb9659,FW,27-350,90,17,22,77.3,195,26,12,14,85.7,4,4,100.0,0,1,0.0,1,0.5,2,2,0,0,0
1,aa849a12,b9064680,5bfb9659,LW,24-274,90,31,47,66.0,391,153,24,29,82.8,7,13,53.8,0,4,0.0,0,0.2,1,1,1,0,6
2,3423f250,b9064680,5bfb9659,RW,24-250,90,29,47,61.7,502,216,16,20,80.0,9,11,81.8,3,12,25.0,0,0.0,1,2,1,0,4
3,282679b4,b9064680,5bfb9659,CM,31-069,59,28,33,84.8,424,80,16,18,88.9,8,9,88.9,2,4,50.0,0,0.1,3,3,0,0,2
4,6c17e046,b9064680,5bfb9659,CM,22-221,31,7,13,53.8,85,24,6,9,66.7,0,2,0.0,1,2,50.0,0,0.0,0,0,1,1,0
5,4f565d77,b9064680,5bfb9659,DM,25-262,90,59,69,85.5,1241,187,17,20,85.0,29,30,96.7,10,16,62.5,0,0.1,2,5,2,1,3
6,24f59bb2,b9064680,5bfb9659,WB,24-364,59,38,45,84.4,594,206,17,20,85.0,21,23,91.3,0,1,0.0,0,0.0,0,1,0,0,2
7,8d03ca5a,b9064680,5bfb9659,WB,21-317,31,18,20,90.0,256,64,11,12,91.7,6,7,85.7,1,1,100.0,0,0.0,0,1,1,0,2
8,67ca8566,b9064680,5bfb9659,WB,30-124,90,52,62,83.9,832,312,33,36,91.7,14,16,87.5,5,10,50.0,0,0.1,2,7,1,0,7
9,dc64b8b3,b9064680,5bfb9659,CB,29-356,90,71,75,94.7,1543,416,13,15,86.7,46,46,100.0,12,14,85.7,1,0.0,1,1,0,0,1
10,f4d296e4,b9064680,5bfb9659,CB,22-010,90,66,69,95.7,1602,294,7,8,87.5,46,46,100.0,12,13,92.3,0,0.0,0,1,0,0,0
11,420d7c7d,b9064680,5bfb9659,CB,29-361,90,103,112,92.0,2213,943,34,35,97.1,50,51,98.0,19,25,76.0,0,0.0,1,10,0,0,18
12,6b625ac2,b9064680,5bfb9659,GK,21-172,90,27,28,96.4,591,232,8,8,100.0,14,14,100.0,5,6,83.3,0,0.0,0,0,0,0,0
0,59e6e5bf,b9064680,d3fd31cc,FW,24-158,89,16,20,80.0,213,39,10,11,90.9,5,5,100.0,1,1,100.0,0,0.1,2,0,1,0,2
1,3d50bcdb,b9064680,d3fd31cc,FW,21-174,1,1,1,100.0,17,0,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
2,fa031b34,b9064680,d3fd31cc,AM,24-103,90,12,17,70.6,163,32,8,9,88.9,4,4,100.0,0,2,0.0,0,0.1,3,0,2,0,3
3,4468ec10,b9064680,d3fd31cc,LM,25-054,82,11,17,64.7,208,67,6,6,100.0,4,9,44.4,1,2,50.0,0,0.2,1,1,0,0,0
4,111c3236,b9064680,d3fd31cc,LM,31-273,8,7,7,100.0,142,5,2,2,100.0,4,4,100.0,1,1,100.0,0,0.0,0,0,0,0,0
5,6ca5ec4b,b9064680,d3fd31cc,RM,25-110,74,16,18,88.9,271,97,7,7,100.0,8,8,100.0,1,2,50.0,0,0.5,2,1,2,1,2
6,b28bbd58,b9064680,d3fd31cc,RM,30-036,16,4,6,66.7,71,4,2,3,66.7,2,3,66.7,0,0,,0,0.0,0,0,0,0,0
7,cc700722,b9064680,d3fd31cc,DM,30-225,90,16,24,66.7,285,100,7,12,58.3,6,7,85.7,2,3,66.7,0,0.0,1,1,0,0,3
8,02b29014,b9064680,d3fd31cc,DM,28-232,90,33,41,80.5,637,229,14,18,77.8,15,16,93.8,4,7,57.1,1,0.1,1,8,2,0,9
9,1b84dbe1,b9064680,d3fd31cc,LB,28-032,90,25,39,64.1,540,376,9,10,90.0,9,13,69.2,6,12,50.0,0,0.1,3,0,0,0,2
10,c5b7c315,b9064680,d3fd31cc,CB,28-222,90,9,16,56.3,304,198,3,4,75.0,2,3,66.7,4,8,50.0,0,0.0,0,1,0,0,2
11,6d5701f2,b9064680,d3fd31cc,CB,26-332,90,18,26,69.2,319,103,7,9,77.8,6,7,85.7,3,5,60.0,0,0.0,0,1,0,0,0
12,0420d84f,b9064680,d3fd31cc,RB,32-314,90,20,27,74.1,390,240,7,8,87.5,9,13,69.2,4,5,80.0,0,0.1,1,2,0,0,3
13,4806ec67,b9064680,d3fd31cc,GK,27-167,90,9,31,29.0,390,302,2,2,100.0,2,2,100.0,5,27,18.5,0,0.0,0,1,0,0,0
0,ab070c55,c8945d11,47c64c55,FW,30-261,90,15,22,68.2,255,45,7,9,77.8,6,11,54.5,2,2,100.0,0,0.0,1,0,2,0,3
1,3312f911,c8945d11,47c64c55,"LW,RW",28-241,67,14,17,82.4,286,74,5,8,62.5,6,6,100.0,3,3,100.0,0,0.1,1,0,1,0,3
2,da052c14,c8945d11,47c64c55,RW,29-344,23,8,10,80.0,90,18,6,6,100.0,2,2,100.0,0,2,0.0,0,0.0,0,2,0,0,0
3,b2bc3b1f,c8945d11,47c64c55,"LW,RW",28-284,90,22,32,68.8,391,108,8,13,61.5,9,12,75.0,4,5,80.0,0,0.3,2,0,2,1,4
4,cee31595,c8945d11,47c64c55,CM,33-318,90,29,38,76.3,547,266,10,12,83.3,14,18,77.8,3,6,50.0,0,0.0,0,1,3,1,5
5,c2731c10,c8945d11,47c64c55,CM,21-196,90,21,29,72.4,351,81,6,8,75.0,12,15,80.0,1,4,25.0,0,0.0,1,1,0,0,1
6,8d3c902d,c8945d11,47c64c55,DM,31-243,90,31,44,70.5,583,111,11,18,61.1,16,21,76.2,4,4,100.0,0,0.0,0,1,0,0,2
7,5cbd1eb0,c8945d11,47c64c55,LB,21-354,90,50,66,75.8,948,550,23,26,88.5,19,24,79.2,7,13,53.8,0,0.0,0,2,0,0,1
8,d0706b27,c8945d11,47c64c55,CB,21-039,90,41,49,83.7,925,279,15,16,93.8,17,19,89.5,8,12,66.7,0,0.0,0,1,0,0,2
